taxonID,vernacularName,language
14685,mesoptychia,Common name
14688,chandonanthus,Common name
14696,barbilophozia,Common name
14697,Atlantic barbilophozia,Common name
14700,attenuate barbilophozia,Common name
14706,barbilophozia,Common name
14708,Binstead's barbilophozia,Common name
14711,barbilophozia,Common name
14713,Floerke's barbilophozia,Common name
14716,Hatcher's barbilophozia,Common name
14719,barbilophozia,Common name
14722,Kunze's barbilophozia,Common name
14725,barbilophozia,Common name
14727,fourlobe barbilophozia,Common name
14730,fourlobe barbilophozia,Common name
14731,fourlobe barbilophozia,Common name
14732,fourlobe barbilophozia,Common name
14734,lophozia,Common name
14824,anastrepta,Common name
14825,anastrepta,Common name
14826,tritomaria,Common name
14843,anastrophyllum,Common name
14844,anastrophyllum,Common name
14847,anastrophyllum,Common name
14848,Heller's anastrophyllum,Common name
14854,Michaux's anastrophyllum,Common name
14857,anastrophyllum,Common name
14859,minute anastrophyllum,Common name
14861,grand anastrophyllum,Common name
14865,anastrophyllum,Common name
14867,anastrophyllum,Common name
14868,anastrophyllum,Common name
14869,gymnocolea,Common name
14875,sphenolobopsis,Common name
14879,mylia,Common name
14882,jamesoniella,Common name
14889,nardia,Common name
14902,jungermannia,Common name
14986,cryptocolea,Common name
14990,marsupella,Common name
15020,gymnomitrion,Common name
15031,anomomarsupella,Common name
15032,anomocarsupella,Common name
15033,prasanthus,Common name
15037,douinia,Common name
15039,diplophyllum,Common name
15058,scapania,Common name
15144,radula,Common name
15166,pleurozia,Common name
15171,porella,Common name
15191,ascidiota,Common name
15193,ascidiota,Common name
15194,Alaskan ascidiota,Common name
15232,jubula,Common name
15240,neurolejeunea,Common name
15242,ptychocoleus,Common name
15244,brachiolejeunea,Common name
15245,Bahama brachiolejeunea,Common name
15246,brachiolejeunea,Common name
15248,lopholejeunea,Common name
15252,caudalejeunea,Common name
15253,Lehmann's caudelejeunea,Common name
15254,leucolejeunea,Common name
15259,hygrolejeunea,Common name
15261,ceratolejeunea,Common name
15268,taxilejeunea,Common name
15272,cheilolejeunea,Common name
15286,rectolejeunea,Common name
15291,harpalejeunea,Common name
15294,crossotolejeunea,Common name
15296,drepanolejeunea,Common name
15301,leptolejeunea,Common name
15305,lejeunea,Common name
15349,diplasiolejeunea,Common name
15351,cololejeunea,Common name
15379,mastigolejeunea,Common name
15387,apotreubia,Common name
15388,apotreubia,Common name
15413,blasia,Common name
15422,calycularia,Common name
15461,aneura,Common name
15489,apometzgeria,Common name
15544,Bolander's asterella,Common name
15545,California asterella,Common name
15547,elegant asterella,Common name
15548,elegant asterella,Common name
15550,graceful asterella,Common name
15552,Lindenberg's asterella,Common name
15553,Palmer's asterella,Common name
15554,asterella,Common name
15555,asterella,Common name
15559,conocephalum,Common name
15572,athalamia,Common name
15579,bucegia,Common name
15580,preissia,Common name
15584,marchantia,Common name
15652,hornwort,Common name
15653,anthoceros,Common name
15657,anthoceros,Common name
15658,Macoun's anthoceros,Common name
15659,anthoceros,Common name
15661,anthoceros,Common name
15666,notothylas,Common name
15667,Breutel's notothylas,Common name
15668,round notothylas,Common name
15669,phaeoceros,Common name
15670,Hall's phaeoceros,Common name
15673,phaeoceros,Common name
15675,phaeoceros,Common name
15676,Carolina phaeoceros,Common name
15683,sphagnum,Common name
15684,Russow's sphagnum,Common name
15685,Aongstroem's sphagnum,Common name
15686,contorted sphagnum,Common name
15687,papillose sphagnum,Common name
15688,sphagnum,Common name
15689,Magellan's sphagnum,Common name
15690,sphagnum,Common name
15691,sphagnum,Common name
15692,prairie sphagnum,Common name
15693,Henry's sphagnum,Common name
15696,low sphagnum,Common name
15697,sphagnum,Common name
15698,sphagnum,Common name
15699,sphagnum,Common name
15700,largeleaf sphagnum,Common name
15701,largeleaf sphagnum,Common name
15702,Florida sphagnum,Common name
15704,toothed sphagnum,Common name
15708,sphagnum,Common name
15711,sphagnum,Common name
15712,sphagnum,Common name
15713,recurved sphagnum,Common name
15717,sphagnum,Common name
15718,streamside sphagnum,Common name
15719,Lindberg's sphagnum,Common name
15720,Pylaes' sphagnum,Common name
15721,sphagnum,Common name
15722,sphagnum,Common name
15723,sphagnum,Common name
15728,sphagnum,Common name
15729,sphagnum,Common name
15732,Bartlett's sphagnum,Common name
15733,sphagnum,Common name
15734,Wulf's sphagnum,Common name
15735,sphagnum,Common name
15736,Angerman's sphagnum,Common name
15737,sphagnum,Common name
15738,sphagnum,Common name
15740,Warnstorf's sphagnum,Common name
15741,Girgensohn's sphagnum,Common name
15742,sphagnum,Common name
15746,andreaea moss,Common name
15749,andreaea moss,Common name
15752,andreaeobryum moss,Common name
15753,big spore andreaeobryum moss,Common name
15758,polytrichum moss,Common name
15759,polytrichum moss,Common name
15760,polytrichum moss,Common name
15761,polytrichum moss,Common name
15762,juniper polytrichum moss,Common name
15765,polytrichum moss,Common name
15766,polytrichum moss,Common name
15767,polytrichum moss,Common name
15769,Ohio polytrichum moss,Common name
15772,pogonatum moss,Common name
15774,Pennsylvania pogonatum moss,Common name
15775,pogonatum moss,Common name
15776,toothed pogonatum moss,Common name
15777,pogonatum moss,Common name
15778,atrichum moss,Common name
15779,atrichum moss,Common name
15780,undulate atrichum moss,Common name
15785,atrichum moss,Common name
15786,atrichum moss,Common name
15790,tetraphis moss,Common name
15791,tetraphis moss,Common name
15792,tetraphis moss,Common name
15793,tetrodontium moss,Common name
15794,Brown's tetrodontium moss,Common name
15800,archidium moss,Common name
15801,small archidium moss,Common name
15802,alternateleaf archidium moss,Common name
15803,archidium moss,Common name
15804,Ohio archidium moss,Common name
15805,Hall's archidium moss,Common name
15806,Donnell's archidium moss,Common name
15809,entosthodon moss,Common name
15810,Drummond's entosthodon moss,Common name
15811,physcomitrium moss,Common name
15812,immersed physcomitrium moss,Common name
15813,physcomitrium moss,Common name
15814,physcomitrium moss,Common name
15815,Hooker's physcomitrium moss,Common name
15816,funaria moss,Common name
15818,funaria moss,Common name
15821,funaria moss,Common name
15822,American funaria moss,Common name
15823,serrate funaria moss,Common name
15826,physcomitrella moss,Common name
15827,physcomitrella moss,Common name
15828,pyramid moss,Common name
15829,pyramid moss,Common name
15831,pseudoditrichum moss,Common name
15832,pseudodotrichum moss,Common name
15834,discelium moss,Common name
15835,discelium moss,Common name
15837,lorentziella moss,Common name
15838,imbricate lorentziella moss,Common name
15842,dryptodon moss,Common name
15843,dryptodon moss,Common name
15845,ephemerum moss,Common name
15846,serrate ephemerum moss,Common name
15847,ephemerum moss,Common name
15848,ephemerum moss,Common name
15849,ephemerum moss,Common name
15850,Texas ephemerum moss,Common name
15851,ephemerum moss,Common name
15852,micromitrium moss,Common name
15853,micromitrium moss,Common name
15854,Wright's micromitrium moss,Common name
15855,Austin's micromitrium moss,Common name
15856,micromitrium moss,Common name
15859,splachnobryum moss,Common name
15860,splachnobryum moss,Common name
15861,tayloria dung moss,Common name
15862,lingulate dung moss,Common name
15863,serrate dung moss,Common name
15864,splachnoid dung moss,Common name
15865,acuminate dung moss,Common name
15866,nitrogen moss,Common name
15867,entireleaf nitrogen moss,Common name
15868,toothedleaf nitrogen moss,Common name
15869,splachnum dung moss,Common name
15870,yellow moosedung moss,Common name
15871,brilliant red dung moss,Common name
15872,small capsule dung moss,Common name
15873,pinkstink dung moss,Common name
15874,Pennsylvania dung moss,Common name
15876,oedipodium moss,Common name
15877,Griffith's oedipodium moss,Common name
15880,orthotrichum moss,Common name
15881,obtuseleaf aspen moss,Common name
15882,orthotrichum moss,Common name
15883,orthotrichum moss,Common name
15884,orthotrichum moss,Common name
15885,Pylais' orthotrichum moss,Common name
15886,orthotrichum moss,Common name
15887,lanceolateleaf rock moss,Common name
15888,lanceolateleaf rock moss,Common name
15889,elegant lanceolateleaf rock moss,Common name
15890,orthotrichum moss,Common name
15891,orthotrichum moss,Common name
15892,Keever's orthotrichum moss,Common name
15893,orthotrichum moss,Common name
15894,strangulate orthotrichum moss,Common name
15895,orthotrichum moss,Common name
15896,orthotrichum moss,Common name
15897,stellate orthotrichum moss,Common name
15898,Ohio orthotrichum moss,Common name
15899,orthotrichum moss,Common name
15900,orthotrichum moss,Common name
15901,orthotrichum moss,Common name
15902,ulota moss,Common name
15903,ulota moss,Common name
15904,ulota moss,Common name
15908,curvedleaf ulota moss,Common name
15909,ulota moss,Common name
15910,Drummond's ulota moss,Common name
15911,Japanese ulota moss,Common name
15912,ulota moss,Common name
15913,macromitrium moss,Common name
15914,Richard's macromitrium moss,Common name
15917,schlotheimia moss,Common name
15918,ruggedleaf schlotheimia moss,Common name
15919,lanceleaf schlotheimia moss,Common name
15920,groutiella moss,Common name
15921,groutiella moss,Common name
15922,tomentose groutiella moss,Common name
15925,drummond moss,Common name
15926,drummond moss,Common name
15927,amphidium moss,Common name
15928,Lapland amphidium moss,Common name
15929,Mougeot's amphidium moss,Common name
15930,zygodon moss,Common name
15931,zygodon moss,Common name
15932,zygodon moss,Common name
15933,zygodon moss,Common name
15934,zygodon moss,Common name
15935,zygodon moss,Common name
15938,erpodium moss,Common name
15939,Domingo erpodium moss,Common name
15940,erpodium moss,Common name
15941,erpodium moss,Common name
15942,venturiella moss,Common name
15943,China venturiella moss,Common name
15946,rhachithecium moss,Common name
15957,bryum moss,Common name
15958,Wright's bryum moss,Common name
15959,Marrat's bryum moss,Common name
15960,bryum moss,Common name
15962,Reed's bryum moss,Common name
15963,Knowlton's bryum moss,Common name
15964,bryum moss,Common name
15965,bryum moss,Common name
15966,bryum moss,Common name
15967,bryum moss,Common name
15968,Weigel's bryum moss,Common name
15969,bryum moss,Common name
15970,bryum moss,Common name
15972,bryum moss,Common name
15973,bryum moss,Common name
15974,dry calcareous bryum moss,Common name
15975,common green bryum moss,Common name
15976,bryum moss,Common name
15977,glossy red bryum moss,Common name
15978,alpine bryum moss,Common name
15979,Muehlenbeck's bryum moss,Common name
15981,bryum moss,Common name
15982,Blind's bryum moss,Common name
15983,bryum moss,Common name
15984,silvergreen bryum moss,Common name
15985,bryum moss,Common name
15986,bryum moss,Common name
15987,brachymenium moss,Common name
15988,brachymenium moss,Common name
15990,Anderson's brachymenium moss,Common name
15991,pohlia moss,Common name
15993,Lescur's pohlia moss,Common name
15994,pohlia moss,Common name
15996,Wahlenberg's pohlia moss,Common name
15997,Drummond's pohlia moss,Common name
15999,pohlia moss,Common name
16000,pohlia moss,Common name
16001,pohlia moss,Common name
16004,pohlia moss,Common name
16005,elongate pohlia moss,Common name
16006,pohlia moss,Common name
16007,pohlia moss,Common name
16010,copper moss,Common name
16012,waterfall copper moss,Common name
16013,orthodontium moss,Common name
16014,orthodontium moss,Common name
16015,plagiobryum moss,Common name
16016,plagiobryum moss,Common name
16017,leptobryum moss,Common name
16018,leptobryum moss,Common name
16025,mnium calcareous moss,Common name
16026,stellar calcareous moss,Common name
16029,olivegreen calcareous moss,Common name
16030,Thomson's calcareous moss,Common name
16031,largetooth calcareous moss,Common name
16048,plagiomnium moss,Common name
16049,rhizomnium moss,Common name
16050,cinclidium moss,Common name
16051,cinclidium moss,Common name
16052,arctic cinclidium moss,Common name
16063,schistostega moss,Common name
16064,schistostega moss,Common name
16069,timmia moss,Common name
16070,Norwegian timmia moss,Common name
16071,Austria timmia moss,Common name
16072,timmia moss,Common name
16075,philonotis moss,Common name
16076,philonotis moss,Common name
16077,philonotis moss,Common name
16078,low philonotis moss,Common name
16079,philonotis moss,Common name
16080,philonotis moss,Common name
16081,philonotis moss,Common name
16083,philonotis moss,Common name
16084,philonotis moss,Common name
16085,philonotis moss,Common name
16087,philonotis moss,Common name
16088,philonotis moss,Common name
16090,bartramia moss,Common name
16091,bartramia moss,Common name
16092,bartramia moss,Common name
16094,plagiopus moss,Common name
16095,Oeder's plagiopus moss,Common name
16096,conostomum moss,Common name
16097,conostomum moss,Common name
16098,bartramidula moss,Common name
16109,paludella moss,Common name
16110,angled paludella moss,Common name
16111,amblyodon moss,Common name
16112,amblyodon moss,Common name
16113,meesia moss,Common name
16114,meesia moss,Common name
16115,meesia moss,Common name
16116,meesia moss,Common name
16118,golf club moss,Common name
16119,black golf club moss,Common name
16123,thuidium moss,Common name
16130,thuidium moss,Common name
16131,Allen's thuidium moss,Common name
16132,delicate thuidium moss,Common name
16135,claopodium moss,Common name
16136,pseudoleskea moss,Common name
16137,pseudoleskea moss,Common name
16138,pseudoleskea moss,Common name
16139,pseudoleskeella moss,Common name
16140,pseudoleskeella moss,Common name
16142,helodium moss,Common name
16143,Blandow's helodium moss,Common name
16144,Blandow's helodium moss,Common name
16146,helodium moss,Common name
16147,haplocladium,Common name
16150,heterocladium moss,Common name
16151,heterocladium moss,Common name
16152,Macoun's heterocladium moss,Common name
16153,myurella moss,Common name
16154,myurella moss,Common name
16155,Siberian myurella moss,Common name
16166,cratoneuron moss,Common name
16168,cratoneuron moss,Common name
16169,drepanocladus moss,Common name
16171,drepanocladus moss,Common name
16172,drepanocladus moss,Common name
16173,drepanocladus moss,Common name
16174,Kneiff's drepanocladus moss,Common name
16182,calliergonella moss,Common name
16183,calliergonella moss,Common name
16184,calliergon moss,Common name
16185,calliergon moss,Common name
16186,Richardson's calliergon moss,Common name
16187,calliergon moss,Common name
16188,giant calliergon moss,Common name
16189,calliergon moss,Common name
16191,calliergon moss,Common name
16195,scorpidium moss,Common name
16196,scorpidium moss,Common name
16198,hygrohypmum moss,Common name
16199,hygrohypnum moss,Common name
16200,montane hygrohypnum moss,Common name
16201,hygrohypnum moss,Common name
16202,hygrohypmum moss,Common name
16203,hygrohypnum moss,Common name
16204,hygrohypnum moss,Common name
16205,hygrohypnum moss,Common name
16206,Smith's hygrohypnum moss,Common name
16207,hygrohypnum moss,Common name
16208,hygrohypnum moss,Common name
16209,campylium moss,Common name
16210,Haller's campylium moss,Common name
16211,hispid campylium moss,Common name
16212,star campylium moss,Common name
16213,star campylium moss,Common name
16214,star campylium moss,Common name
16215,campylium moss,Common name
16216,goldenleaf campylium moss,Common name
16217,campylium moss,Common name
16219,amblystegium moss,Common name
16225,amblystegium moss,Common name
16226,amblystegium moss,Common name
16227,amblystegium moss,Common name
16228,Juratzk's amblystegium moss,Common name
16231,donrichard moss,Common name
16232,donrichard moss,Common name
16233,sciaromium,Common name
16236,brachythecium moss,Common name
16237,brachythecium moss,Common name
16238,acuminate brachythecium moss,Common name
16242,brachythecium moss,Common name
16243,brachythecium moss,Common name
16244,brachythecium moss,Common name
16245,brachythecium moss,Common name
16246,brachythecium moss,Common name
16247,brachythecium moss,Common name
16248,brachythecium moss,Common name
16249,brachythecium moss,Common name
16250,turgid brachythecium moss,Common name
16251,brachythecium moss,Common name
16252,calcareous brachythecium moss,Common name
16253,brachythecium moss,Common name
16255,brachythecium moss,Common name
16256,pseudoscleropodium moss,Common name
16257,pseudoscleropodium moss,Common name
16260,eurhynchium moss,Common name
16261,eurhynchium moss,Common name
16262,eurhynchium moss,Common name
16265,conardia moss,Common name
16266,compact conardia moss,Common name
16267,rhynchostegium,Common name
16269,cirriphyllum moss,Common name
16270,cirriphyllum moss,Common name
16271,bryoandersonia moss,Common name
16272,bryoandersonia moss,Common name
16273,bryhnia moss,Common name
16274,New England bryhnia moss,Common name
16275,bryhnia moss,Common name
16276,isothecium moss,Common name
16278,homalotheciella moss,Common name
16280,homalothecium moss,Common name
16281,silken homalothecium moss,Common name
16282,palamocladium moss,Common name
16283,palamocladium moss,Common name
16284,tomenthypnum,Common name
16291,plagiothecium moss,Common name
16292,plagiothecium moss,Common name
16293,plagiothecium moss,Common name
16294,plagiothecium moss,Common name
16295,toothed plagiothecium moss,Common name
16296,stereophyllum moss,Common name
16298,stereophyllum moss,Common name
16300,hypnum moss,Common name
16301,revolute hypnum moss,Common name
16303,hypnum moss,Common name
16304,recurved hypnum moss,Common name
16305,hypnum moss,Common name
16310,hypnum moss,Common name
16311,Bamberger's hypnum moss,Common name
16312,hypnum moss,Common name
16313,curveleaf hypnum moss,Common name
16314,Lindberg's hypnum moss,Common name
16315,hypnum moss,Common name
16316,hypnum moss,Common name
16317,Dieck's hypnum moss,Common name
16319,ptilium moss,Common name
16320,knights plume moss,Common name
16324,ctenidium moss,Common name
16325,mollusc ctenidium moss,Common name
16326,vesicularia moss,Common name
16328,vesicularia moss,Common name
16331,herzogiella moss,Common name
16332,herzodiella moss,Common name
16333,herzogiella moss,Common name
16334,herzogiella moss,Common name
16335,taxiphyllum moss,Common name
16336,taxiphyllum moss,Common name
16337,taxiphyllum moss,Common name
16338,taxiphyllum moss,Common name
16339,bryocrumia moss,Common name
16341,isopterygiopsis moss,Common name
16342,Mueller's isopterygiopsis moss,Common name
16343,isopterygium moss,Common name
16347,isopterygium moss,Common name
16349,callicladium moss,Common name
16350,callicladium moss,Common name
16351,platydictya moss,Common name
16352,platydictya moss,Common name
16354,Jungermann's platydictya moss,Common name
16359,pylaisiella moss,Common name
16360,Selwyn's pylaisiella moss,Common name
16361,intricate pylaisiella moss,Common name
16362,pylaisiella moss,Common name
16363,platygyrium moss,Common name
16364,platygyrium moss,Common name
16365,orthothecium moss,Common name
16366,intricate orthothecium moss,Common name
16369,taxithelium moss,Common name
16370,taxithelium moss,Common name
16372,big red stem moss,Common name
16373,Schreber's big red stem moss,Common name
16374,hylocomium feather moss,Common name
16375,splendid feather moss,Common name
16379,rhytidiopsis moss,Common name
16382,goose neck moss,Common name
16383,rough goose neck moss,Common name
16384,square goose neck moss,Common name
16385,loreus goose neck moss,Common name
16387,rhytidium moss,Common name
16388,rhytidium moss,Common name
16390,pleuroziopsis moss,Common name
16391,pleuroziopsis moss,Common name
16393,entodon moss,Common name
16394,entodon moss,Common name
16395,seductive entodon moss,Common name
16396,Sullivant's entodon moss,Common name
16397,compressed entodon moss,Common name
16398,entodon moss,Common name
16399,entodon moss,Common name
16400,entodon moss,Common name
16402,sematophyllum moss,Common name
16403,sematophyllum moss,Common name
16406,sematophyllum moss,Common name
16408,brotherella moss,Common name
16409,recurved brotherella moss,Common name
16411,heterophyllium moss,Common name
16412,heterophyllium moss,Common name
16413,acroporium moss,Common name
16414,Small's acroporium moss,Common name
16417,fontinalis moss,Common name
16418,antifever fontinalis moss,Common name
16421,fontinalis moss,Common name
16422,New England fontinalis moss,Common name
16424,fontinalis moss,Common name
16425,Sullivant's fontinalis moss,Common name
16426,Missouri fontinalis moss,Common name
16427,Macmillan's fontinalis moss,Common name
16428,fontinalis moss,Common name
16429,Langlois' fontinalis moss,Common name
16430,fontinalis moss,Common name
16431,flaccid fontinalis moss,Common name
16432,dichelyma moss,Common name
16433,dichelyma moss,Common name
16434,dichelyma moss,Common name
16435,dichelyma moss,Common name
16436,sickle dichelyma moss,Common name
16437,brachelyma moss,Common name
16438,brachelyma moss,Common name
16447,schwetschkeopsis moss,Common name
16448,schwetschkeopsis moss,Common name
16450,climacium moss,Common name
16451,tree climacium moss,Common name
16452,American climacium moss,Common name
16454,anomodon moss,Common name
16455,anomodon moss,Common name
16456,anomodon moss,Common name
16457,anomodon moss,Common name
16458,Rugel's anomodon moss,Common name
16459,anomodon moss,Common name
16460,thelia moss,Common name
16461,thelia moss,Common name
16462,thelia moss,Common name
16463,Lescur's thelia moss,Common name
16464,lindbergia moss,Common name
16465,lindbergia moss,Common name
16466,leskea moss,Common name
16467,leskea moss,Common name
16468,leskea moss,Common name
16469,leskea moss,Common name
16470,leskea moss,Common name
16471,haplohymenium moss,Common name
16472,haplohymenium moss,Common name
16473,pterigynandrum moss,Common name
16474,pterigynandrum moss,Common name
16476,lescuraea moss,Common name
16477,lescuraea moss,Common name
16478,leskeella,Common name
16479,leskeella,Common name
16480,herpetineuron moss,Common name
16481,herpetineuron moss,Common name
16483,fabronia moss,Common name
16485,fabronia moss,Common name
16486,anacamptodon moss,Common name
16488,myrinia moss,Common name
16489,myrinia moss,Common name
16490,clasmatodon moss,Common name
16491,clasmatodon moss,Common name
16493,cryphaea moss,Common name
16494,Ravenel's cryphaea moss,Common name
16495,cryphaea moss,Common name
16496,filiform cryphaea moss,Common name
16497,cryphaea moss,Common name
16499,forsstroemia moss,Common name
16501,forsstroemia moss,Common name
16505,leucodon moss,Common name
16506,leucodon moss,Common name
16507,leucodon moss,Common name
16508,leucodon moss,Common name
16509,Andrews' lecodon moss,Common name
16510,antitrichia moss,Common name
16511,antitrichia moss,Common name
16513,pseudocryphaea moss,Common name
16520,hedwigia moss,Common name
16521,ciliate hedwigia moss,Common name
16523,pseudobraunia moss,Common name
16524,braunia moss,Common name
16544,jaegerina moss,Common name
16545,jaegerina moss,Common name
16546,pireella moss,Common name
16547,Pohl's pireella moss,Common name
16548,pireella moss,Common name
16552,barbella moss,Common name
16554,papillaria moss,Common name
16555,black papillaria moss,Common name
16560,neckeropsis moss,Common name
16561,undulate neckeropsis moss,Common name
16562,neckeropsis moss,Common name
16563,thamnobryum moss,Common name
16564,Allegany thamnobryum moss,Common name
16565,homalia moss,Common name
16566,homalia moss,Common name
16567,homaliadelphus moss,Common name
16568,Sharp's homaliadelphus moss,Common name
16569,neckera moss,Common name
16577,hookeria moss,Common name
16578,sharpleaf hookeria moss,Common name
16586,lepidopilum moss,Common name
16587,lepidopilum moss,Common name
16590,cyclodictyon moss,Common name
16591,cyclodictyon moss,Common name
16593,hypopterygium moss,Common name
16594,hypopterygium moss,Common name
16601,bryobrittonia moss,Common name
16608,buxbaumia moss,Common name
16609,buxbaumia moss,Common name
16610,buxbaumia moss,Common name
16615,diphyscium moss,Common name
16616,diphyscium moss,Common name
16621,tortula moss,Common name
16624,tortula moss,Common name
16626,papillose tortula moss,Common name
16627,tortula moss,Common name
16629,fragile tortula moss,Common name
16630,mucronleaf tortula moss,Common name
16631,Cain's tortula moss,Common name
16632,tortula moss,Common name
16633,Norwegian tortula moss,Common name
16634,barbula moss,Common name
16636,barbula moss,Common name
16638,convoluted barbula moss,Common name
16642,Ehrenberg's barbula moss,Common name
16655,weissia moss,Common name
16656,controverial weissia moss,Common name
16657,Sharp's weissia moss,Common name
16659,Jamaican weissia moss,Common name
16660,tortella moss,Common name
16661,fragile tortella moss,Common name
16662,tortured tortella moss,Common name
16663,tortella moss,Common name
16664,tortella moss,Common name
16665,stegonia moss,Common name
16666,wideleaf stegonia moss,Common name
16667,desmatodon moss,Common name
16668,Porter's desmatodon moss,Common name
16669,obtuseleaf desmatodon moss,Common name
16670,desmatodon moss,Common name
16671,desmatodon moss,Common name
16672,Heim's desmatodon moss,Common name
16673,wideleaf desmatodon moss,Common name
16674,desmatodon moss,Common name
16675,Rand's desmatodon moss,Common name
16678,neohyophila moss,Common name
16680,pottia moss,Common name
16681,Davall's pottia moss,Common name
16683,truncate pottia moss,Common name
16686,aloina moss,Common name
16687,aloina moss,Common name
16688,rigid aloina moss,Common name
16689,aloina moss,Common name
16690,crossidium moss,Common name
16691,crossidium moss,Common name
16692,pterygoneurum moss,Common name
16693,sessile pterygoneurum moss,Common name
16696,ovate pterygoneurum moss,Common name
16697,phascum moss,Common name
16698,toothed phascum moss,Common name
16699,Floerkea's phascum moss,Common name
16700,didymodon moss,Common name
16701,didymodon moss,Common name
16702,didymodon moss,Common name
16703,rigid didymodon moss,Common name
16704,Reed's didymodon moss,Common name
16705,bryoerythrophyllum moss,Common name
16707,hyophila moss,Common name
16708,hyophila moss,Common name
16709,leptodonium moss,Common name
16710,leptodontium moss,Common name
16711,leptodontium moss,Common name
16712,timmiella moss,Common name
16713,timmiella moss,Common name
16714,pleurochaete moss,Common name
16715,square pleurochaete moss,Common name
16716,trichostomum moss,Common name
16719,astomum moss,Common name
16721,astomum moss,Common name
16722,astomum moss,Common name
16723,gymnostomum moss,Common name
16725,gymnostomum moss,Common name
16727,eucladium moss,Common name
16729,gyroweisia moss,Common name
16730,gyroweisia moss,Common name
16731,reflexed gyroweisia moss,Common name
16732,aschisma moss,Common name
16733,Kansas aschisma moss,Common name
16734,scopelophila moss,Common name
16736,cataract scopelophila moss,Common name
16737,anoectangium moss,Common name
16739,anoectangium moss,Common name
16740,gymnostomiella moss,Common name
16741,Orcutt's gymnostomiella moss,Common name
16742,luisierella moss,Common name
16743,luisierella moss,Common name
16745,syrrhopodon moss,Common name
16747,Texan syrrhopodon moss,Common name
16749,syrrhopodon moss,Common name
16751,calymperes moss,Common name
16752,calymperes moss,Common name
16761,dicranum moss,Common name
16762,dicranum moss,Common name
16763,dicranum moss,Common name
16764,dicranum moss,Common name
16765,undulate dicranum moss,Common name
16766,Ontario dicranum moss,Common name
16767,condensed dicranum moss,Common name
16768,dicranum moss,Common name
16769,dicranum moss,Common name
16770,Muehlenbeck's dicranum moss,Common name
16771,montane dicranum moss,Common name
16772,elongate dicranum moss,Common name
16773,fragile leaf dicranum moss,Common name
16774,dicranum moss,Common name
16775,dicranum moss,Common name
16776,dicranum moss,Common name
16778,campylopus moss,Common name
16779,Carolina campylopus moss,Common name
16780,campylopus moss,Common name
16781,campylopus moss,Common name
16782,campylopus moss,Common name
16783,Oersted's campylopus moss,Common name
16784,Surinam campylopus moss,Common name
16785,paradox campylopus moss,Common name
